Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,Footnotes
United States,0.236,0.087,0.125,0.255,0.132,0.165,1
Alabama,0.237,0.087,0.115,0.251,0.135,0.175,
Alaska,0.259,0.093,0.139,0.246,0.132,0.13,
Arizona,0.24,0.093,0.121,0.241,0.124,0.182,
Arkansas,0.247,0.087,0.115,0.248,0.131,0.173,
California,0.237,0.092,0.137,0.263,0.123,0.149,
Colorado,0.231,0.089,0.141,0.265,0.126,0.148,
Connecticut,0.217,0.086,0.113,0.259,0.148,0.177,
Delaware,0.218,0.081,0.118,0.242,0.144,0.197,
District of Columbia,0.195,0.09,0.216,0.269,0.103,0.127,
Florida,0.209,0.08,0.114,0.249,0.137,0.211,
Georgia,0.253,0.089,0.122,0.267,0.125,0.145,
Hawaii,0.228,0.072,0.116,0.255,0.132,0.197,
Idaho,0.267,0.085,0.12,0.242,0.125,0.162,
Illinois,0.237,0.087,0.126,0.258,0.132,0.16,
Indiana,0.246,0.091,0.118,0.25,0.134,0.161,
Iowa,0.244,0.089,0.114,0.243,0.136,0.174,
Kansas,0.257,0.092,0.116,0.241,0.131,0.164,
Kentucky,0.237,0.089,0.114,0.254,0.137,0.17,
Louisiana,0.25,0.088,0.123,0.248,0.132,0.16,
Maine,0.19,0.075,0.11,0.252,0.16,0.213,
Maryland,0.233,0.081,0.123,0.265,0.138,0.16,
Massachusetts,0.209,0.087,0.132,0.26,0.141,0.171,
Michigan,0.227,0.091,0.118,0.246,0.142,0.177,
Minnesota,0.243,0.082,0.125,0.252,0.137,0.162,
Mississippi,0.254,0.089,0.11,0.251,0.131,0.165,
Missouri,0.236,0.085,0.121,0.246,0.139,0.172,
Montana,0.226,0.085,0.114,0.236,0.143,0.196,
Nebraska,0.26,0.088,0.122,0.24,0.129,0.162,
Nevada,0.235,0.083,0.131,0.262,0.126,0.163,
New Hampshire,0.201,0.078,0.115,0.258,0.163,0.186,
New Jersey,0.23,0.082,0.117,0.267,0.139,0.165,
New Mexico,0.24,0.09,0.117,0.238,0.132,0.183,
New York,0.217,0.086,0.134,0.257,0.136,0.169,
North Carolina,0.235,0.086,0.118,0.26,0.133,0.169,
North Dakota,0.245,0.102,0.137,0.232,0.128,0.156,
Ohio,0.234,0.085,0.119,0.248,0.14,0.174,
Oklahoma,0.256,0.091,0.123,0.242,0.127,0.16,
Oregon,0.214,0.084,0.128,0.261,0.129,0.183,
Pennsylvania,0.219,0.079,0.123,0.248,0.145,0.187,
Rhode Island,0.207,0.088,0.127,0.253,0.148,0.178,
South Carolina,0.23,0.082,0.116,0.249,0.138,0.184,
South Dakota,0.257,0.082,0.115,0.235,0.136,0.174,
Tennessee,0.235,0.086,0.124,0.254,0.134,0.167,
Texas,0.272,0.094,0.13,0.261,0.114,0.129,
Utah,0.308,0.109,0.132,0.242,0.095,0.115,
Vermont,0.195,0.086,0.111,0.247,0.158,0.204,
Virginia,0.234,0.084,0.12,0.265,0.135,0.163,
Washington,0.23,0.084,0.138,0.26,0.129,0.16,
West Virginia,0.212,0.081,0.105,0.251,0.146,0.205,
Wisconsin,0.23,0.085,0.116,0.251,0.143,0.175,
Wyoming,0.251,0.083,0.117,0.242,0.135,0.172,
Puerto Rico,0.196,0.099,0.105,0.253,0.135,0.213,
,,,,,,,
Notes,,,,,,,
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    ",,,,,,,
,,,,,,,
Population numbers are rounded to the nearest 100.,,,,,,,
,,,,,,,
Sources,,,,,,,
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates.",,,,,,,
,,,,,,,
,,,,,,,
Footnotes,,,,,,,
1. US total excludes Puerto Rico.,,,,,,,